Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ABL,ABL,ablative
AFF,none,affirmative
ANT,none,anticipatory
APPR,none,apprehensive
ATT,none,attributive marker
BG,none,background
CERT,none,certainty marker
CONJ,none,conjunction
CONSEC,none,consecutively
DET,DET,determiner
DETR,none,detransitivizing suffix
DISTR,none,distributive
DU ,DU,dual
DUR,DUR,durative
EMPH,none,emphasis
EP,none,epenthetic vowel
EX ,EXCL,exclusive
EXCL,EXCL,exclusive
FIN,none,finiteness marker
FUT,FUT,future
GEN ,GEN,genitive
IMP,IMP,imperative
IN,INCL,inclusive
INGR,none,ingressive
IPFV,IPFV,imperfective
IRR,IRR,irrealis
ITER,none,iterative
LOC,none,locational
M,M,masculine
NMLZ,NMLZ,nominalizer
NOM,NOM,nominative
NSG,none,non-singular
O,OBJ,object
PL,PL,plural
PRIV,none,privative
PROPR,none,proprietive
PROX,PROX,proximal
PROX,PROX,PROXIMAL
PRS,PRS,present
PST ,PST,past
RECIP,RECP,reciprocal
REL,none,relativizer
SG,SG,singular
SIM,none,simultaneous
SS,none,same subject
TE,,(unclear)
TR,none,transitivizing suffix
VERB,none,verbializer
VR,,(unclear)
ZE,,(unclear)
