Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
DST,none,distant particle
TS,none,transitive suffix
AD,none,addressee deictic
BEN,BEN,benefactive
CND,COND,conditional
COMP,COMP,complementizer
COND,COND,conditional
D,DU,dual
DEM,DEM,demonstrative
DET,DET,determiner
DP,none,direct possession
DP,none,direct possession
EMPH,none,EMPH
ES,none,echo-subject
EXCL,EXCL,exclusive
HAB,none,habitual
HABIT,none,habitual
HES,none,hesitation
HESIT,none,hesitation marker
INCH,none,inchoative
incl,INCL,inclusive
INT,none,intensifier
IR,IRR,irrealis
IRS,none,irrealis subject
LOC,LOC,locative
NC,none,not considered
NEG,NEG,negation
NEG2,none,second negation particle
NMLS,NMLS,nominalizer
NR,none,NC typo
O,OBJ,object
OBL,OBL,oblique
P,PL,plural
PERF,PRF,perfect
PF,PRF,perfect
PN,none,proper name
POS,none,possessive
PREP,none,preposition
PROG,PROG,progressive
PS,none,perfect subject
PSP,none,prospective
PURP,none,purpose 'in order to'
RECP,RECP,reciprocal
REFL,REFL,reflexive
REL,none,relativizer
RS,none,realis subject
S,S,singular
SUB,none,subordinator
TOP,TOP,topic
TR,none,transitivizer
TS,none,transitive suffix
V,none,epenthetic vowel preceding DP suffix
